dataset,type,semma_mrr,semma_h10,are_mrr,are_h10,mrr_diff,h10_diff,mrr_improvement_pct,h10_improvement_pct,dataset_name_pattern,dataset_type,base_performance,performance_level,domain_category,scale_indicator,is_inductive,is_pretrain,performance_category
FB15K237,Pre-training,0.377,0.574,0.376,0.574,-0.0010000000000000009,0.0,-0.2652519893899207,0.0,fb_family,Pre-training,0.377,medium,general,medium,0,1,stable
WN18RR,Pre-training,0.548,0.656,0.545,0.652,-0.0030000000000000027,-0.0040000000000000036,-0.547445255474453,-0.6097560975609762,wordnet,Pre-training,0.548,high,general,medium,0,1,stable
CoDExMedium,Pre-training,0.376,0.529,0.373,0.53,-0.0030000000000000027,0.0010000000000000009,-0.7978723404255326,0.18903591682419676,codex_family,Pre-training,0.376,medium,general,medium,0,1,stable
CoDExSmall-ht,Transductive,0.479,0.672,0.485,0.675,0.006000000000000005,0.0030000000000000027,1.2526096033402934,0.44642857142857184,codex_family,Transductive,0.479,medium,general,small,0,0,stable
CoDExLarge-ht,Transductive,0.348,0.477,0.346,0.478,-0.0020000000000000018,0.0010000000000000009,-0.5747126436781614,0.20964360587002115,codex_family,Transductive,0.348,medium,general,large,0,0,stable
NELL995-ht,Transductive,0.442,0.576,0.455,0.586,0.013000000000000012,0.010000000000000009,2.941176470588238,1.736111111111113,nell_family,Transductive,0.442,medium,general,small,0,0,significantly_improved
DBpedia 100k-ht,Transductive,0.37,0.552,0.379,0.546,0.009000000000000008,-0.006000000000000005,2.4324324324324347,-1.0869565217391313,other,Transductive,0.37,medium,general,large,0,0,stable
ConceptNet 100k-ht,Transductive,0.162,0.308,0.137,0.282,-0.024999999999999994,-0.026000000000000023,-15.432098765432094,-8.441558441558449,common_sense,Transductive,0.162,low,common_sense,large,0,0,significantly_degraded
NELL23k-ht,Transductive,0.248,0.426,0.252,0.421,0.0040000000000000036,-0.0050000000000000044,1.6129032258064528,-1.1737089201877946,nell_family,Transductive,0.248,low,general,small,0,0,stable
YAGO310-ht,Transductive,0.393,0.566,0.475,0.654,0.08199999999999996,0.08800000000000008,20.865139949109405,15.54770318021203,structured_large,Transductive,0.393,medium,general,large,0,0,significantly_improved
Hetionet-ht,Transductive,0.249,0.361,0.25,0.369,0.0010000000000000009,0.008000000000000007,0.40160642570281163,2.2160664819944618,other,Transductive,0.249,low,general,medium,0,0,stable
WDsinger-ht,Transductive,0.368,0.486,0.357,0.487,-0.01100000000000001,0.0010000000000000009,-2.9891304347826115,0.20576131687242818,other,Transductive,0.368,medium,general,medium,0,0,significantly_degraded
AristoV4-ht,Transductive,0.222,0.336,0.205,0.325,-0.017000000000000015,-0.01100000000000001,-7.657657657657664,-3.273809523809527,other,Transductive,0.222,low,general,medium,0,0,significantly_degraded
FB15k237_10,Transductive,0.247,0.399,0.248,0.4,0.0010000000000000009,0.0010000000000000009,0.4048582995951421,0.2506265664160403,fb_family,Transductive,0.247,low,general,small,0,0,stable
FB15K237_20,Transductive,0.264,0.43,0.269,0.433,0.0050000000000000044,0.0030000000000000027,1.8939393939393954,0.6976744186046517,fb_family,Transductive,0.264,low,general,small,0,0,stable
FB15K237_50,Transductive,0.308,0.508,0.314,0.51,0.006000000000000005,0.0020000000000000018,1.9480519480519498,0.39370078740157516,fb_family,Transductive,0.308,medium,general,small,0,0,stable
FB15K237Inductive:v1,Inductive(e),0.486,0.655,0.499,0.656,0.013000000000000012,0.0010000000000000009,2.674897119341566,0.15267175572519096,fb_family,Inductive(e),0.486,medium,general,medium,1,0,significantly_improved
FB15K237Inductive:v2,Inductive(e),0.503,0.69,0.524,0.71,0.02100000000000002,0.020000000000000018,4.174950298210739,2.898550724637684,fb_family,Inductive(e),0.503,high,general,medium,1,0,significantly_improved
FB15K237Inductive:v3,Inductive(e),0.493,0.651,0.503,0.657,0.010000000000000009,0.006000000000000005,2.0283975659229228,0.9216589861751161,fb_family,Inductive(e),0.493,medium,general,medium,1,0,significantly_improved
FB15K237Inductive:v4,Inductive(e),0.492,0.676,0.502,0.68,0.010000000000000009,0.0040000000000000036,2.0325203252032535,0.5917159763313614,fb_family,Inductive(e),0.492,medium,general,medium,1,0,significantly_improved
WN18RRInductive:v1,Inductive(e),0.724,0.816,0.722,0.82,-0.0020000000000000018,0.0040000000000000036,-0.27624309392265217,0.490196078431373,wordnet,Inductive(e),0.724,high,general,medium,1,0,stable
WN18RRInductive:v2,Inductive(e),0.704,0.803,0.702,0.801,-0.0020000000000000018,-0.0020000000000000018,-0.28409090909090934,-0.24906600249066024,wordnet,Inductive(e),0.704,high,general,medium,1,0,stable
WN18RRInductive:v3,Inductive(e),0.441,0.576,0.464,0.598,0.02300000000000002,0.02200000000000002,5.215419501133792,3.819444444444448,wordnet,Inductive(e),0.441,medium,general,medium,1,0,significantly_improved
WN18RRInductive:v4,Inductive(e),0.664,0.741,0.663,0.747,-0.0010000000000000009,0.006000000000000005,-0.15060240963855434,0.8097165991902842,wordnet,Inductive(e),0.664,high,general,medium,1,0,stable
NELLInductive:v1,Inductive(e),0.796,0.935,0.78,0.918,-0.016000000000000014,-0.017000000000000015,-2.010050251256283,-1.81818181818182,nell_family,Inductive(e),0.796,high,general,medium,1,0,significantly_degraded
NELLInductive:v2,Inductive(e),0.543,0.729,0.536,0.709,-0.007000000000000006,-0.020000000000000018,-1.2891344383057102,-2.743484224965709,nell_family,Inductive(e),0.543,high,general,medium,1,0,stable
NELLInductive:v3,Inductive(e),0.53,0.719,0.518,0.703,-0.01200000000000001,-0.016000000000000014,-2.264150943396228,-2.2253129346314346,nell_family,Inductive(e),0.53,high,general,medium,1,0,significantly_degraded
NELLInductive:v4,Inductive(e),0.495,0.728,0.506,0.725,0.01100000000000001,-0.0030000000000000027,2.2222222222222245,-0.41208791208791246,nell_family,Inductive(e),0.495,medium,general,medium,1,0,significantly_improved
ILPC2022:small,Inductive(e),0.298,0.449,0.3,0.453,0.0020000000000000018,0.0040000000000000036,0.671140939597316,0.8908685968819607,other,Inductive(e),0.298,low,general,small,1,0,stable
ILPC2022:large,Inductive(e),0.307,0.429,0.309,0.43,0.0020000000000000018,0.0010000000000000009,0.6514657980456031,0.2331002331002333,other,Inductive(e),0.307,medium,general,large,1,0,stable
HM:1k,Inductive(e),0.062,0.109,0.056,0.091,-0.005999999999999998,-0.018000000000000002,-9.677419354838706,-16.51376146788991,other,Inductive(e),0.062,low,general,medium,1,0,stable
HM:3k,Inductive(e),0.056,0.102,0.053,0.085,-0.0030000000000000027,-0.016999999999999987,-5.357142857142862,-16.666666666666654,other,Inductive(e),0.056,low,general,medium,1,0,stable
HM:5k,Inductive(e),0.054,0.101,0.053,0.09,-0.0010000000000000009,-0.01100000000000001,-1.8518518518518534,-10.891089108910899,other,Inductive(e),0.054,low,general,medium,1,0,stable
HM:indigo,Inductive(e),0.434,0.644,0.433,0.648,-0.0010000000000000009,0.0040000000000000036,-0.23041474654377903,0.6211180124223609,other,Inductive(e),0.434,medium,general,medium,1,0,stable
FBIngram:25,"Inductive(e,r)",0.395,0.639,0.396,0.649,0.0010000000000000009,0.010000000000000009,0.25316455696202556,1.5649452269170594,fb_family,"Inductive(e,r)",0.395,medium,general,medium,1,0,stable
FBIngram:50,"Inductive(e,r)",0.343,0.545,0.346,0.55,0.002999999999999947,0.0050000000000000044,0.8746355685131041,0.9174311926605512,fb_family,"Inductive(e,r)",0.343,medium,general,small,1,0,stable
FBIngram:75,"Inductive(e,r)",0.404,0.6,0.412,0.608,0.007999999999999952,0.008000000000000007,1.9801980198019682,1.3333333333333346,fb_family,"Inductive(e,r)",0.404,medium,general,medium,1,0,stable
FBIngram:100,"Inductive(e,r)",0.445,0.634,0.453,0.642,0.008000000000000007,0.008000000000000007,1.7977528089887655,1.2618296529968467,fb_family,"Inductive(e,r)",0.445,medium,general,small,1,0,stable
WKIngram:25,"Inductive(e,r)",0.302,0.509,0.315,0.504,0.013000000000000012,-0.0050000000000000044,4.304635761589408,-0.9823182711198437,other,"Inductive(e,r)",0.302,medium,general,medium,1,0,significantly_improved
WKIngram:50,"Inductive(e,r)",0.174,0.317,0.173,0.323,-0.0010000000000000009,0.006000000000000005,-0.5747126436781614,1.89274447949527,other,"Inductive(e,r)",0.174,low,general,small,1,0,stable
WKIngram:75,"Inductive(e,r)",0.387,0.525,0.391,0.539,0.0040000000000000036,0.014000000000000012,1.0335917312661507,2.6666666666666687,other,"Inductive(e,r)",0.387,medium,general,medium,1,0,stable
WKIngram:100,"Inductive(e,r)",0.179,0.301,0.186,0.304,0.007000000000000006,0.0030000000000000027,3.9106145251396685,0.9966777408637884,other,"Inductive(e,r)",0.179,low,general,small,1,0,stable
NLIngram:0,"Inductive(e,r)",0.366,0.567,0.363,0.531,-0.0030000000000000027,-0.03599999999999992,-0.8196721311475417,-6.349206349206336,other,"Inductive(e,r)",0.366,medium,general,medium,1,0,stable
NLIngram:25,"Inductive(e,r)",0.387,0.547,0.401,0.569,0.014000000000000012,0.02199999999999991,3.6175710594315276,4.021937842778776,other,"Inductive(e,r)",0.387,medium,general,medium,1,0,significantly_improved
NLIngram:50,"Inductive(e,r)",0.408,0.573,0.408,0.572,0.0,-0.0010000000000000009,0.0,-0.1745200698080281,other,"Inductive(e,r)",0.408,medium,general,small,1,0,stable
NLIngram:75,"Inductive(e,r)",0.351,0.544,0.34,0.518,-0.010999999999999954,-0.026000000000000023,-3.1339031339031207,-4.779411764705886,other,"Inductive(e,r)",0.351,medium,general,medium,1,0,significantly_degraded
NLIngram:100,"Inductive(e,r)",0.464,0.676,0.469,0.67,0.004999999999999949,-0.006000000000000005,1.0775862068965407,-0.8875739644970422,other,"Inductive(e,r)",0.464,medium,general,small,1,0,stable
WikiTopicsMT1:tax,"Inductive(e,r)",0.229,0.299,0.236,0.319,0.0069999999999999785,0.020000000000000018,3.0567685589519558,6.688963210702347,domain_specific,"Inductive(e,r)",0.229,low,domain_specific,medium,1,0,stable
WikiTopicsMT1:health,"Inductive(e,r)",0.335,0.434,0.317,0.428,-0.018000000000000016,-0.006000000000000005,-5.373134328358213,-1.3824884792626742,domain_specific,"Inductive(e,r)",0.335,medium,domain_specific,medium,1,0,significantly_degraded
WikiTopicsMT2:org,"Inductive(e,r)",0.096,0.157,0.094,0.156,-0.0020000000000000018,-0.0010000000000000009,-2.0833333333333353,-0.6369426751592362,domain_specific,"Inductive(e,r)",0.096,low,domain_specific,medium,1,0,stable
WikiTopicsMT2:sci,"Inductive(e,r)",0.257,0.388,0.252,0.349,-0.0050000000000000044,-0.039000000000000035,-1.9455252918287955,-10.051546391752586,domain_specific,"Inductive(e,r)",0.257,low,domain_specific,medium,1,0,stable
WikiTopicsMT3:art,"Inductive(e,r)",0.267,0.4,0.271,0.419,0.0040000000000000036,0.01899999999999996,1.4981273408239713,4.74999999999999,domain_specific,"Inductive(e,r)",0.267,low,domain_specific,medium,1,0,stable
WikiTopicsMT3:infra,"Inductive(e,r)",0.649,0.782,0.616,0.75,-0.03300000000000003,-0.03200000000000003,-5.084745762711869,-4.092071611253201,domain_specific,"Inductive(e,r)",0.649,high,domain_specific,medium,1,0,significantly_degraded
WikiTopicsMT4:sci,"Inductive(e,r)",0.287,0.453,0.296,0.459,0.009000000000000008,0.006000000000000005,3.135888501742163,1.3245033112582794,domain_specific,"Inductive(e,r)",0.287,low,domain_specific,medium,1,0,stable
WikiTopicsMT4:health,"Inductive(e,r)",0.615,0.739,0.614,0.743,-0.0010000000000000009,0.0040000000000000036,-0.16260162601626033,0.5412719891745607,domain_specific,"Inductive(e,r)",0.615,high,domain_specific,medium,1,0,stable
Metafam,"Inductive(e,r)",0.258,0.53,0.45,0.853,0.192,0.32299999999999995,74.4186046511628,60.94339622641508,biology,"Inductive(e,r)",0.258,low,biology,medium,1,0,significantly_improved
FBNELL,"Inductive(e,r)",0.48,0.651,0.483,0.652,0.0030000000000000027,0.0010000000000000009,0.6250000000000006,0.153609831029186,fb_family,"Inductive(e,r)",0.48,medium,general,medium,1,0,stable
