dataset,type,semma_mrr,semma_h10,are_mrr,are_h10,mrr_diff,h10_diff,relation_semantic_clustering,relation_type_diversity,relation_frequency_distribution,entity_relation_ratio,graph_density_category,relation_hierarchy,domain_specificity,performance_category
FB15K237,Pre-training,0.377,0.574,0.376,0.574,-0.0010000000000000009,0.0,high,medium,medium,medium,medium,mixed,general,stable
WN18RR,Pre-training,0.548,0.656,0.545,0.652,-0.0030000000000000027,-0.0040000000000000036,high,low,medium,medium,medium,hierarchical,general,stable
CoDExMedium,Pre-training,0.376,0.529,0.373,0.53,-0.0030000000000000027,0.0010000000000000009,medium,medium,medium,medium,medium,mixed,general,stable
CoDExSmall-ht,Transductive,0.479,0.672,0.485,0.675,0.006000000000000005,0.0030000000000000027,medium,medium,sparse,medium,medium,mixed,general,stable
CoDExLarge-ht,Transductive,0.348,0.477,0.346,0.478,-0.0020000000000000018,0.0010000000000000009,medium,medium,long_tail,medium,sparse,mixed,general,stable
NELL995-ht,Transductive,0.442,0.576,0.455,0.586,0.013000000000000012,0.010000000000000009,medium,medium,sparse,medium,medium,mixed,general,significantly_improved
DBpedia 100k-ht,Transductive,0.37,0.552,0.379,0.546,0.009000000000000008,-0.006000000000000005,medium,medium,long_tail,medium,sparse,mixed,general,stable
ConceptNet 100k-ht,Transductive,0.162,0.308,0.137,0.282,-0.024999999999999994,-0.026000000000000023,low,high,long_tail,low,sparse,flat,general,significantly_degraded
NELL23k-ht,Transductive,0.248,0.426,0.252,0.421,0.0040000000000000036,-0.0050000000000000044,medium,medium,sparse,medium,medium,mixed,general,stable
YAGO310-ht,Transductive,0.393,0.566,0.475,0.654,0.08199999999999996,0.08800000000000008,high,medium,long_tail,medium,medium,mixed,general,significantly_improved
Hetionet-ht,Transductive,0.249,0.361,0.25,0.369,0.0010000000000000009,0.008000000000000007,medium,medium,medium,medium,medium,mixed,general,stable
WDsinger-ht,Transductive,0.368,0.486,0.357,0.487,-0.01100000000000001,0.0010000000000000009,medium,medium,medium,medium,medium,mixed,general,significantly_degraded
AristoV4-ht,Transductive,0.222,0.336,0.205,0.325,-0.017000000000000015,-0.01100000000000001,medium,medium,medium,medium,medium,mixed,general,significantly_degraded
FB15k237_10,Transductive,0.247,0.399,0.248,0.4,0.0010000000000000009,0.0010000000000000009,high,medium,sparse,medium,medium,mixed,general,stable
FB15K237_20,Transductive,0.264,0.43,0.269,0.433,0.0050000000000000044,0.0030000000000000027,high,medium,sparse,medium,medium,mixed,general,stable
FB15K237_50,Transductive,0.308,0.508,0.314,0.51,0.006000000000000005,0.0020000000000000018,high,medium,sparse,medium,medium,mixed,general,stable
FB15K237Inductive:v1,Inductive(e),0.486,0.655,0.499,0.656,0.013000000000000012,0.0010000000000000009,high,medium,medium,medium,medium,mixed,general,significantly_improved
FB15K237Inductive:v2,Inductive(e),0.503,0.69,0.524,0.71,0.02100000000000002,0.020000000000000018,high,medium,medium,medium,medium,mixed,general,significantly_improved
FB15K237Inductive:v3,Inductive(e),0.493,0.651,0.503,0.657,0.010000000000000009,0.006000000000000005,high,medium,medium,medium,medium,mixed,general,significantly_improved
FB15K237Inductive:v4,Inductive(e),0.492,0.676,0.502,0.68,0.010000000000000009,0.0040000000000000036,high,medium,medium,medium,medium,mixed,general,significantly_improved
WN18RRInductive:v1,Inductive(e),0.724,0.816,0.722,0.82,-0.0020000000000000018,0.0040000000000000036,high,low,medium,medium,medium,hierarchical,general,stable
WN18RRInductive:v2,Inductive(e),0.704,0.803,0.702,0.801,-0.0020000000000000018,-0.0020000000000000018,high,low,medium,medium,medium,hierarchical,general,stable
WN18RRInductive:v3,Inductive(e),0.441,0.576,0.464,0.598,0.02300000000000002,0.02200000000000002,high,low,medium,medium,medium,hierarchical,general,significantly_improved
WN18RRInductive:v4,Inductive(e),0.664,0.741,0.663,0.747,-0.0010000000000000009,0.006000000000000005,high,low,medium,medium,medium,hierarchical,general,stable
NELLInductive:v1,Inductive(e),0.796,0.935,0.78,0.918,-0.016000000000000014,-0.017000000000000015,medium,medium,medium,medium,medium,mixed,general,significantly_degraded
NELLInductive:v2,Inductive(e),0.543,0.729,0.536,0.709,-0.007000000000000006,-0.020000000000000018,medium,medium,medium,medium,medium,mixed,general,stable
NELLInductive:v3,Inductive(e),0.53,0.719,0.518,0.703,-0.01200000000000001,-0.016000000000000014,medium,medium,medium,medium,medium,mixed,general,significantly_degraded
NELLInductive:v4,Inductive(e),0.495,0.728,0.506,0.725,0.01100000000000001,-0.0030000000000000027,medium,medium,medium,medium,medium,mixed,general,significantly_improved
ILPC2022:small,Inductive(e),0.298,0.449,0.3,0.453,0.0020000000000000018,0.0040000000000000036,medium,medium,sparse,medium,medium,mixed,general,stable
ILPC2022:large,Inductive(e),0.307,0.429,0.309,0.43,0.0020000000000000018,0.0010000000000000009,medium,medium,long_tail,medium,sparse,mixed,general,stable
HM:1k,Inductive(e),0.062,0.109,0.056,0.091,-0.005999999999999998,-0.018000000000000002,medium,medium,medium,medium,medium,mixed,general,stable
HM:3k,Inductive(e),0.056,0.102,0.053,0.085,-0.0030000000000000027,-0.016999999999999987,medium,medium,medium,medium,medium,mixed,general,stable
HM:5k,Inductive(e),0.054,0.101,0.053,0.09,-0.0010000000000000009,-0.01100000000000001,medium,medium,medium,medium,medium,mixed,general,stable
HM:indigo,Inductive(e),0.434,0.644,0.433,0.648,-0.0010000000000000009,0.0040000000000000036,medium,medium,medium,medium,medium,mixed,general,stable
FBIngram:25,"Inductive(e,r)",0.395,0.639,0.396,0.649,0.0010000000000000009,0.010000000000000009,medium,medium,medium,medium,medium,mixed,general,stable
FBIngram:50,"Inductive(e,r)",0.343,0.545,0.346,0.55,0.002999999999999947,0.0050000000000000044,medium,medium,sparse,medium,medium,mixed,general,stable
FBIngram:75,"Inductive(e,r)",0.404,0.6,0.412,0.608,0.007999999999999952,0.008000000000000007,medium,medium,medium,medium,medium,mixed,general,stable
FBIngram:100,"Inductive(e,r)",0.445,0.634,0.453,0.642,0.008000000000000007,0.008000000000000007,medium,medium,sparse,medium,medium,mixed,general,stable
WKIngram:25,"Inductive(e,r)",0.302,0.509,0.315,0.504,0.013000000000000012,-0.0050000000000000044,medium,medium,medium,medium,medium,mixed,general,significantly_improved
WKIngram:50,"Inductive(e,r)",0.174,0.317,0.173,0.323,-0.0010000000000000009,0.006000000000000005,medium,medium,sparse,medium,medium,mixed,general,stable
WKIngram:75,"Inductive(e,r)",0.387,0.525,0.391,0.539,0.0040000000000000036,0.014000000000000012,medium,medium,medium,medium,medium,mixed,general,stable
WKIngram:100,"Inductive(e,r)",0.179,0.301,0.186,0.304,0.007000000000000006,0.0030000000000000027,medium,medium,sparse,medium,medium,mixed,general,stable
NLIngram:0,"Inductive(e,r)",0.366,0.567,0.363,0.531,-0.0030000000000000027,-0.03599999999999992,medium,medium,medium,medium,medium,mixed,general,stable
NLIngram:25,"Inductive(e,r)",0.387,0.547,0.401,0.569,0.014000000000000012,0.02199999999999991,medium,medium,medium,medium,medium,mixed,general,significantly_improved
NLIngram:50,"Inductive(e,r)",0.408,0.573,0.408,0.572,0.0,-0.0010000000000000009,medium,medium,sparse,medium,medium,mixed,general,stable
NLIngram:75,"Inductive(e,r)",0.351,0.544,0.34,0.518,-0.010999999999999954,-0.026000000000000023,medium,medium,medium,medium,medium,mixed,general,significantly_degraded
NLIngram:100,"Inductive(e,r)",0.464,0.676,0.469,0.67,0.004999999999999949,-0.006000000000000005,medium,medium,sparse,medium,medium,mixed,general,stable
WikiTopicsMT1:tax,"Inductive(e,r)",0.229,0.299,0.236,0.319,0.0069999999999999785,0.020000000000000018,medium,medium,medium,medium,medium,mixed,domain_specific,stable
WikiTopicsMT1:health,"Inductive(e,r)",0.335,0.434,0.317,0.428,-0.018000000000000016,-0.006000000000000005,medium,medium,medium,medium,medium,mixed,domain_specific,significantly_degraded
WikiTopicsMT2:org,"Inductive(e,r)",0.096,0.157,0.094,0.156,-0.0020000000000000018,-0.0010000000000000009,medium,medium,medium,medium,medium,mixed,domain_specific,stable
WikiTopicsMT2:sci,"Inductive(e,r)",0.257,0.388,0.252,0.349,-0.0050000000000000044,-0.039000000000000035,medium,medium,medium,medium,medium,mixed,domain_specific,stable
WikiTopicsMT3:art,"Inductive(e,r)",0.267,0.4,0.271,0.419,0.0040000000000000036,0.01899999999999996,medium,medium,medium,medium,medium,mixed,domain_specific,stable
WikiTopicsMT3:infra,"Inductive(e,r)",0.649,0.782,0.616,0.75,-0.03300000000000003,-0.03200000000000003,medium,medium,medium,medium,medium,mixed,domain_specific,significantly_degraded
WikiTopicsMT4:sci,"Inductive(e,r)",0.287,0.453,0.296,0.459,0.009000000000000008,0.006000000000000005,medium,medium,medium,medium,medium,mixed,domain_specific,stable
WikiTopicsMT4:health,"Inductive(e,r)",0.615,0.739,0.614,0.743,-0.0010000000000000009,0.0040000000000000036,medium,medium,medium,medium,medium,mixed,domain_specific,stable
Metafam,"Inductive(e,r)",0.258,0.53,0.45,0.853,0.192,0.32299999999999995,high,low,medium,high,medium,hierarchical,highly_specific,significantly_improved
FBNELL,"Inductive(e,r)",0.48,0.651,0.483,0.652,0.0030000000000000027,0.0010000000000000009,medium,medium,medium,medium,medium,mixed,general,stable
